,precision,recall,f1-score,support
0,0.9900494777350193,0.9605312283321777,0.9750670023552344,18749.0
1,0.3129062209842154,0.6505791505791506,0.4225705329153605,518.0
accuracy,0.9521980588571132,0.9521980588571132,0.9521980588571132,0.9521980588571132
macro avg,0.6514778493596174,0.8055551894556642,0.6988187676352975,19267.0
weighted avg,0.9718442456284684,0.9521980588571132,0.9602129425031631,19267.0
